800     65.73789 
750     69.51938 
700     73.4678  
650     78.29626 
600     83.62117 
550     90.1065  
500     98.27779  
450     107.09208 
400     119.64039 
380     124.80006 
360     130.83964 
340     135.67479 
320     145.56749 
300     149.89274 
280     160.41648 
260     166.39201 
240     176.51771 
220     186.9235  
200     192.17497 
180     204.66647 
160     207.32758 
150     215.8817  
140     193.63102 
130     208.69546 
120     216.83378 
110     193.96639 
100     217.62652 
90       186.93237
80       153.48593
70       151.88005
60       131.4877 
50       115.7799 
40       85.83599 
30       92.89585 
20       70.02319 
10       53.87219 
